DATE,LAUCN110010000000003A
1990-01-01,6.3
1991-01-01,7.8
1992-01-01,8.6
1993-01-01,8.5
1994-01-01,8.0
1995-01-01,8.8
1996-01-01,8.4
1997-01-01,8.0
1998-01-01,8.4
1999-01-01,6.4
2000-01-01,5.6
2001-01-01,6.3
2002-01-01,6.4
2003-01-01,6.8
2004-01-01,7.8
2005-01-01,6.4
2006-01-01,5.8
2007-01-01,5.5
2008-01-01,6.5
2009-01-01,9.3
2010-01-01,9.4
2011-01-01,10.2
2012-01-01,9.0
2013-01-01,8.5
2014-01-01,7.8
2015-01-01,6.9
2016-01-01,6.0
